"AMA","Recharge Facility","Water User","Year","Group","Data","Variable","deliveries"
"Pinal","MSIDD","Eloy",2016,"GSF Deliveries","Recharge","Remaining","0"
"Pinal","MSIDD","Florence",2016,"GSF Deliveries","Recharge","Delivered","2048"
"Pinal","MSIDD","Florence",2016,"GSF Deliveries","Recharge","Scheduled","2048"
"Pinal","MSIDD","Florence",2016,"GSF Deliveries","Recharge","Remaining","0"
"Pinal","MSIDD","GRIC",2016,"GSF Deliveries","Recharge","Delivered","35000"
"Pinal","MSIDD","GRIC",2016,"GSF Deliveries","Recharge","Scheduled","35000"
"Pinal","MSIDD","GRIC",2016,"GSF Deliveries","Recharge","Remaining","0"
"Pinal","MSIDD","Total",2016,"GSF Deliveries","Recharge","Delivered","47148"
"Pinal","MSIDD","Total",2016,"GSF Deliveries","Recharge","Scheduled","47148"
"Pinal","MSIDD","Total",2016,"GSF Deliveries","Recharge","Remaining","0"
"Tucson","ASARCO","Tohono O'odham - SX",2016,"GSF Deliveries","Recharge","Delivered","7432"
"Tucson","ASARCO","Tohono O'odham - SX",2016,"GSF Deliveries","Recharge","Scheduled","7914"
"Tucson","ASARCO","Tohono O'odham - SX",2016,"GSF Deliveries","Recharge","Remaining","482"
"Tucson","ASARCO","Total",2016,"GSF Deliveries","Recharge","Delivered","7432"
"Tucson","ASARCO","Total",2016,"GSF Deliveries","Recharge","Scheduled","7914"
"Tucson","ASARCO","Total",2016,"GSF Deliveries","Recharge","Remaining","482"
"Tucson","BKW","AWBA Tucson AMA",2016,"GSF Deliveries","Recharge","Delivered","1000"
"Tucson","BKW","AWBA Tucson AMA",2016,"GSF Deliveries","Recharge","Scheduled","1000"
"Tucson","BKW","AWBA Tucson AMA",2016,"GSF Deliveries","Recharge","Remaining","0"
"Tucson","BKW","Marana",2016,"GSF Deliveries","Recharge","Delivered","1528"
"Tucson","BKW","Marana",2016,"GSF Deliveries","Recharge","Scheduled","1528"
"Tucson","BKW","Marana",2016,"GSF Deliveries","Recharge","Remaining","0"
"Tucson","BKW","Metro DWID",2016,"GSF Deliveries","Recharge","Delivered","2400"
"Tucson","BKW","Metro DWID",2016,"GSF Deliveries","Recharge","Scheduled","2400"
"Tucson","BKW","Metro DWID",2016,"GSF Deliveries","Recharge","Remaining","0"
"Tucson","BKW","Tucson",2016,"GSF Deliveries","Recharge","Delivered","7520"
"Tucson","BKW","Tucson",2016,"GSF Deliveries","Recharge","Scheduled","7600"
"Tucson","BKW","Tucson",2016,"GSF Deliveries","Recharge","Remaining","80"
"Tucson","BKW","Total",2016,"GSF Deliveries","Recharge","Delivered","12448"
"Tucson","BKW","Total",2016,"GSF Deliveries","Recharge","Scheduled","12528"
"Tucson","BKW","Total",2016,"GSF Deliveries","Recharge","Remaining","80"
"Tucson","CMID","AWBA Tucson AMA",2016,"GSF Deliveries","Recharge","Delivered","1500"
