"AMA","Recharge Facility","Water User","Year","Group","Data","Month","deliveries"
"Phoenix","NMIDD","GRIC",2016,"GSF Deliveries","Recharge","Jun","3046"
"Phoenix","NMIDD","GRIC",2016,"GSF Deliveries","Recharge","Jul","6382"
"Phoenix","NMIDD","GRIC",2016,"GSF Deliveries","Recharge","Aug","2500"
"Phoenix","NMIDD","GRIC",2016,"GSF Deliveries","Recharge","Sep","3577"
"Phoenix","NMIDD","GRIC",2016,"GSF Deliveries","Recharge","Oct","4000"
"Phoenix","NMIDD","GRIC",2016,"GSF Deliveries","Recharge","Nov","0"
"Phoenix","NMIDD","GRIC",2016,"GSF Deliveries","Recharge","Dec","2406"
"Phoenix","NMIDD","Surprise",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","NMIDD","Surprise",2016,"GSF Deliveries","Recharge","Feb","0"
"Phoenix","NMIDD","Surprise",2016,"GSF Deliveries","Recharge","Mar","0"
"Phoenix","NMIDD","Surprise",2016,"GSF Deliveries","Recharge","Apr","0"
"Phoenix","NMIDD","Surprise",2016,"GSF Deliveries","Recharge","May","0"
"Phoenix","NMIDD","Surprise",2016,"GSF Deliveries","Recharge","Jun","0"
"Phoenix","NMIDD","Surprise",2016,"GSF Deliveries","Recharge","Jul","0"
"Phoenix","NMIDD","Surprise",2016,"GSF Deliveries","Recharge","Aug","0"
"Phoenix","NMIDD","Surprise",2016,"GSF Deliveries","Recharge","Sep","0"
"Phoenix","NMIDD","Surprise",2016,"GSF Deliveries","Recharge","Oct","0"
"Phoenix","NMIDD","Surprise",2016,"GSF Deliveries","Recharge","Nov","4817"
"Phoenix","NMIDD","Surprise",2016,"GSF Deliveries","Recharge","Dec","183"
"Phoenix","NMIDD","Tohono O'odham - SX",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","NMIDD","Tohono O'odham - SX",2016,"GSF Deliveries","Recharge","Feb","1129"
"Phoenix","NMIDD","Tohono O'odham - SX",2016,"GSF Deliveries","Recharge","Mar","4138"
"Phoenix","NMIDD","Tohono O'odham - SX",2016,"GSF Deliveries","Recharge","Apr","4256"
"Phoenix","NMIDD","Tohono O'odham - SX",2016,"GSF Deliveries","Recharge","May","1767"
"Phoenix","NMIDD","Tohono O'odham - SX",2016,"GSF Deliveries","Recharge","Jun","3297"
"Phoenix","NMIDD","Tohono O'odham - SX",2016,"GSF Deliveries","Recharge","Jul","3054"
"Phoenix","NMIDD","Tohono O'odham - SX",2016,"GSF Deliveries","Recharge","Aug","2045"
